date,[btc] TBTC,[btc] WBTC,[btc] renBTC,[btc] SBTC,[stablecoin] DAI,[stablecoin] USDC,[stablecoin] USDT,[veth2] WETH,[veth2] vETH2,[aleth] WETH,[aleth] alETH,[aleth] sETH,[d4] alUSD,[d4] FEI,[d4] FRAX,[d4] LUSD,[stablecoin_v2] DAI,[stablecoin_v2] USDC,[stablecoin_v2] USDT
2021-09-27T00:00:00+00:00,7262.37810366935,0,269455.4296055888,473071.98504162935,0,0,0,0,0,12609.154922329864,0,0,0,10030.7313265165865787,728155.874193812991,161824.752624644929,999.68253312189310853500,1116564.5239680000000000,622493.8474750000000000
2021-09-26T00:00:00+00:00,76969.39735267196,5252.7456439824,68624.3710868088,487008.9635649667,0,0,0,0,0,261166.15303736742,251912.37287804158,0,0,1042063.1284422877988526,0,0,991.8233957519269647,323721.8632790000000000,4698.0941740000000000
2021-09-25T00:00:00+00:00,4755.211489438937,37.865376492299994,1000102.4866835667,1914.716007451608,0,0,0,0,0,1411867.5044581266,1346163.4350484877,1340662.275305341,1336855.339153314997,2125324.761239892623,1881999.826672229484,154848.8074918957852077,490853.5614287118499307,6485.5685920000000000,9779.7206140000000000
2021-09-24T00:00:00+00:00,160598.54156306497,12640.197455647898,1084194.4441959062,0,0,0,0,0,0,176208.28510118384,169170.85440591438,2261460.862035406,256504.533561081095,441588.6374515980037562,0,747550.109921066770,0.99951526673036909300,14927.5353640000000000,0
2021-09-23T00:00:00+00:00,6956.082830122046,0,0,0,0,0,0,0,0,908329.0082817107,1012806.724268258,463732.9499265324,0,99880.138830024577,154825.430993473525,37229.873752843158,0,2757.0007370000000000,51.5588440000000000
2021-09-22T00:00:00+00:00,5938.004327503741,0,0,0,0,0,0,0,0,439636.0779218717,339348.2196266663,1066772.4461035943,3357.4108808970239534,1794028.078105831662,256345.555064592089,0,2885.3622949590141374,418.0455840000000000,3673.0303470000000000
2021-09-21T00:00:00+00:00,6539.711208126118,148984.4999400046,68937.88440473909,0,0,0,0,0,0,2623054.3772383826,3524198.298004327,2910173.382950159,1765716.127151058072,2047335.963006124541,848894.429374008991,151588.4411395996110122,318971.3580401030945302,897.1567080000000000,1069.8110450000000000
2021-09-20T00:00:00+00:00,79656.0184322267,8706.859555184,0,943806.4703383684,0,0,0,0,0,927305.9333209594,2819534.164211258,0,904528.273013549944,2546579.700786284300,672450.677791801797,2738200.039146552630,1241.8155588118595218,1025191.50860100000000000000,42.9641720000000000
2021-09-19T00:00:00+00:00,48661.0862538113,19398.1393450816,275443.51443248003,308866.6836829662,0,0,0,0,0,487055.7237995066,1274671.1958718565,3055.422859233739,255994.413755853172,784582.0840529319791522,538591.787092770855,341147.094432519185,2507.3429212706810857,387.2145680000000000,49.9566720000000000
2021-09-18T00:00:00+00:00,0,7608.325191838199,0,6274.608701860803,6491.7095446062492526,0,0,0,0,146395.48687150885,456315.45989358245,0,0,6417.2671214283689173,0,0,749.3285872492962457,11769.41714300000000000000,145.9248060000000000
2021-09-17T00:00:00+00:00,102993.13107232537,120222.16435143359,0,0,0,0,0,0,0,46362.014571398664,0,22945.680374022188,0,0,256318.110764135086,305881.135914819979,3012.8976301174671987,43101.5045480000000000,332.2214690000000000
2021-09-16T00:00:00+00:00,36765.07834687942,0,77468.94151066,0,0,0,0,0,0,82136.2361314672,464835.3502258081,0,256114.118710258099,1238061.570686861344,282102.973935749740,0,5526.6486333905137296,516785.6543170000000000,274.7234010000000000
2021-09-15T00:00:00+00:00,7672.251201960071,943222.1025296759,553569.9758619867,0,0,0,0,0,0,108650.4559452182,685252.4148188996,0,0,281095.410557442157,0,12495.004945868091,0.000083900507279789000000,549.8945880000000000,643.4183730000000000
